Name of teacher,Day,1,2,3,4,5,6,7,8
Mr. Geography,Fri,6A,,10A,10B,,,9A,10B
Mr. Geography,Sat,,,10A,10B,,6A,9A,
Ms. Music,Mon,7B,7A,,,,10A,,6A
Ms. Music,Tue,7B,7A,6B,9A,,6B,,6A
Ms. Music,Wed,7B,7A,,,,10B,,
Ms. Music,Thur,8B,,,,,10A,8A,8A
Ms. Music,Fri,,8A,8B,,,10B,,
Ms. Music,Sat,7B,7B,,,,,6B,6A
COMP INST.,Mon,8B,10B PR(WITH WE),12 IP TH,10A PR (WITH WE),,10B PR WITH YOGA,7B,
COMP INST.,Tue,,10B,12 IP TH,,6A,,7B,
COMP INST.,Wed,,10B,12 IP TH,10A,,9A,12A PR,12A PR
COMP INST.,Thur,,10B,12 IP TH,10A,9A PR (PHE),9A PR WITH WE,12A PR,12A PR
COMP INST.,Fri,,,7A,8B,8A,9A,,10A
COMP INST.,Sat,,,7A,8A,6B,9A,,10A PR WITH YOGA
Ms. Civics,Mon,9A,,6B,8B,,8A,10A,10A
Ms. Civics,Tue,9A,,,8B,6B,8A,10A,10A
Ms. Civics,Wed,9A,,6B,8B,,8A,10A,
Ms. Civics,Thur,9A,,6B,,8B,8A,10A,8B
Ms. Civics,Fri,8B ACP,,6B,,,8A,10A,
Ms. Civics,Sat,9A,9A,6B,,,8A,8B,
Ms. Hindi Jr,Mon,7A,7B,6A,,,,10B,10B
Ms. Hindi Jr,Tue,7A,7B,6A,,,,10B,10B
Ms. Hindi Jr,Wed,7A,7B,,,6A,,10B,7A
Ms. Hindi Jr,Thur,7A,7B,,,6A,,10B,7A ACP
Ms. Hindi Jr,Fri,9A,,,9A,6A,,10B,7B
Ms. Hindi Jr,Sat,7A,7A,,9A,6A,7A,,7B
Mr. Social Science,Mon,9A,6B,,7B,8B,,10A+B,10A+B
Mr. Social Science,Tue,9A,6B,8A,6A,8B,,10A+B,10A+B
Mr. Social Science,Wed,9A,,8A,,8B,6B,10A+B,
Mr. Social Science,Thur,9A,7A,8A,,,,10A+B,7B
Mr. Social Science,Fri,9A,7A,6A,9A,,,10A+B,
Mr. Social Science,Sat,8A,8A,6A,9A,7A,,7B,
Mr. English Jr,Mon,10A,,,6B,8A,,8B,
Mr. English Jr,Tue,10A,,,,8A,10A,8B,6B
Mr. English Jr,Wed,10A,,,6B,8A,,8B,9A ACP
Mr. English Jr,Thur,10A,,,6B,8A,,8B,
Mr. English Jr,Fri,10A,9A,8A,6B,9A,,8B,
Mr. English Jr,Sat,10A,10A,8A,6B,9A,,10A,8B
Ms. History Jr,Mon,10B,9A,7A,,,7B,6A,
Ms. History Jr,Tue,10B,9A,7A,,,7B,6A,7A
Ms. History Jr,Wed,10B,9A,7A,,,7B,6A,
Ms. History Jr,Thur,10B,9A,7A,,,7B,6A,
Ms. History Jr,Fri,10B,,10B,,,7B,6A,7A
Ms. History Jr,Sat,10B,10B,10B,6A,7B,,,
TGT SCIENCE,Mon,8A,6A,,7A,9A,,6B,9A
TGT SCIENCE,Tue,8A,6A,,7A,9A,,6B,
TGT SCIENCE,Wed,8A,6A,,7A,9A,,6B,
TGT SCIENCE,Thur,8A,6A,,7A,,8B,6B,9A
TGT SCIENCE,Fri,8A,6A,,7A,6B,8B,6B,9A
TGT SCIENCE,Sat,,,8B,7A,8A,,6A,9A
COACH,Mon,,,,,6A (COMP),,9A,7A
COACH,Tue,,,,,,10B,7A,9A
COACH,Wed,,,8B,,6B,,8A,7B
COACH,Thur,,,,6A,9A B1 (AI PR),,7A,10A
COACH,Fri,,6B,,,10A,,,
COACH,Sat,,,,,11A+B,,12A+B,
YOGA,Mon,,,,,,10B WITH AI PR,7A,
YOGA,Tue,,,,,,,,
YOGA,Wed,,,,9A,,,7B,8A
YOGA,Thur,,,6A,8B,,12A,,12B
YOGA,Fri,6B,,,,11B,,,
YOGA,Sat,,,,11A,,,,10A WITH AI PR
TGT SST,Mon,,,8B,,7B,7A,,6B
TGT SST,Tue,,,,6B,7B,7A,9AB,8B
TGT SST,Wed,,6B,,,7B,7A,9AB,8B
TGT SST,Thur,6B,,8B,,7B,7A,,7A
TGT SST,Fri,7B,6B,,,8B,7A,,
TGT SST,Sat,,,,,8B,7B,,6B
